name,description
Turbocompresor Garrett GT2860RS,Turbocompresor ball bearing de alto rendimiento. Ideal para preparaciones turbo con respuesta rápida en media-alta.
Cigüeñal forjado acero 4340,Cigüeñal forjado en acero 4340 tratado térmicamente. Alta resistencia para motores de alto rendimiento.
Árbol de levas DOHC i-VTEC,Árbol de levas DOHC compatible con motores i-VTEC. Perfil optimizado para mejor respuesta y potencia.
Bomba de agua OEM,Bomba de agua OEM de circulación eficiente. Mantiene la temperatura del motor en rango óptimo.
Colector de escape acero inoxidable,Colector de escape en acero inoxidable. Mejora el flujo de gases y reduce la contrapresión.
Turbocompresor IHI VF34,Turbocompresor IHI VF34 original spec. Respuesta rápida para motores turbo de serie deportiva.
Cigüeñal estándar reforzado,Cigüeñal reforzado de serie mejorado. Sustituto directo con mayor durabilidad.
Árbol de levas deportivo,Árbol de levas con perfil deportivo. Mayor lift y duración para ganar potencia en alto régimen.
Bomba de aceite de alto caudal,Bomba de aceite de alto caudal para motores preparados. Presión estable en condiciones extremas.
Colector de admisión aluminio,Colector de admisión en aluminio. Distribución uniforme del aire para mejor llenado de cilindros.
Turbo ball bearing SR20,Turbocompresor ball bearing para plataforma SR20. Flujo optimizado para preparaciones Nissan.
Cigüeñal ligero billet,Cigüeñal mecanizado en billet de aluminio/acero ligero. Reduce masas rotativas del motor.
Kit árbol de levas + tensor,Kit completo de árbol de levas con tensor y poleas. Montaje directo con juego de juntas recomendado.
Bomba de combustible eléctrica,Bomba de combustible eléctrica de alto caudal. Presión constante para inyección multipunto o turbo.
Colector 4-2-1 deportivo,Colector 4-2-1 deportivo. Diseño probado en pista para maximizar potencia en rango medio-alto.
Turbocompresor twin-scroll,Turbocompresor twin-scroll de respuesta progresiva. Menor lag y mejor entrega de par.
Cigüeñal con contrapesos equilibrado,Cigüeñal equilibrado de fábrica con contrapesos calibrados. Reduce vibraciones del motor.
Árbol de levas VVT,Árbol de levas con sistema VVT. Compatible con gestión variable de válvulas del motor.
Bomba de agua reforzada,Bomba de agua reforzada para uso intensivo. Impulsor reforzado y sellado mejorado.
Colector escape catalizado,Colector de escape con catalizador integrado. Cumple normativa de emisiones sin perder flujo.
Turbo Garrett GTX3076R,Turbocompresor Garrett GTX3076R de gran caudal. Para proyectos de alta potencia con intercooler adecuado.
Cigüeñal stroker 90mm,Cigüeñal stroker con carrera ampliada. Aumenta cilindrada y par motor en bloques compatibles.
Árbol de levas Stage 2,Árbol de levas Stage 2 para uso calle-pista. Requiere muelles reforzados y ajuste de ECU.
Bomba de aceite racing,Bomba de aceite racing con engranajes reforzados. Para motores de competición y alto régimen.
Colector admisión plenum,Colector de admisión tipo plenum. Volumen optimizado para motores atmosféricos y turbo.
Turbocompresor OEM reacondicionado,Turbocompresor OEM reacondicionado y balanceado. Alternativa económica con garantía de funcionamiento.
Cigüeñal nitrurado,Cigüeñal con tratamiento de nitrurado. Superficie más dura y mayor resistencia al desgaste.
Árbol de levas OEM,Árbol de levas OEM de repuesto. Perfil de fábrica para mantenimiento y restauración.
Bomba de agua con termostato,Bomba de agua con termostato integrado. Kit de sustitución completo para revisión del circuito.
Colector escape turbo,Colector de escape diseñado para instalación turbo. Brida y geometría adaptadas al turbocompresor.
Turbo IHI VF35,Turbocompresor IHI VF35 de mayor caudal que VF34. Para STI y preparaciones con más potencia.
Cigüeñal K-series,Cigüeñal para motores Honda K-series. Compatible con bloques K20/K24 según aplicación.
Árbol de levas B-series,Árbol de levas para motores Honda B-series. Perfil VTEC para mejor rendimiento en alto régimen.
Bomba de aceite Melling,Bomba de aceite Melling de alto rendimiento. Flujo superior al OEM en motores preparados.
Colector escape 3 pulgadas,Colector de escape de 3 pulgadas. Salida amplia para sistemas deportivos y turbo.
Turbocompresor Holset HX35,Turbocompresor Holset HX35 robusto. Muy usado en diesel y conversiones turbo por su fiabilidad.
Cigüeñal EJ25,Cigüeñal para motor Subaru EJ25. Pieza clave en reconstrucciones de boxer turbo.
Árbol de levas EJ20,Árbol de levas para Subaru EJ20. Perfil adecuado para WRX y STI de generaciones clásicas.
Bomba de agua Subaru,Bomba de agua específica para motor boxer Subaru. Sustituto directo con juntas incluidas.
Colector WRX STI,Colector de escape original spec WRX STI. Sonido y flujo probados en plataforma Subaru.
Turbo Garrett GT2871R,Turbocompresor Garrett GT2871R versátil. Buen equilibrio entre respuesta y potencia máxima.
Cigüeñal rotativo 13B,Cigüeñal/eje excéntrico para motor rotativo Mazda 13B. Componente esencial en reconstrucciones REW.
Árbol de levas rotativo,Árbol de levas para motor rotativo Wankel. Control preciso de admisión y escape en 13B.
Bomba de aceite rotativo,Bomba de aceite para motor rotativo. Mantiene lubricación del estator y rotores.
Colector rotativo REW,Colector de escape para motor rotativo REW. Diseño específico para RX-7 y preparaciones 13B.
Turbocompresor Mazda RX,Turbocompresor recomendado para conversiones en Mazda RX. Montaje con colector y gestión adaptada.
Cigüeñal Nissan SR20,Cigüeñal para motor Nissan SR20. Base sólida para turbo y preparaciones drift.
Árbol de levas SR20DET,Árbol de levas para SR20DET turbo. Perfil orientado a potencia con VVT donde aplique.
Bomba de agua Nissan,Bomba de agua OEM Nissan. Repuesto fiable para mantenimiento del circuito de refrigeración.
Colector SR20 turbo,Colector de escape turbo para SR20. Brida wastegate y geometría para SR20DET.
